"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","UC Browser","Android","Yandex Browser","Brave","360 Safe Browser","QQ Browser","IE","Coc Coc","Whale Browser","Mozilla","Sogou Explorer","Instabridge","Ecosia","Edge Legacy","Unknown","KaiOS","Puffin","Other"
2024-08,65.2,18.57,5.24,2.74,2.57,2.15,1.11,0.51,0.38,0,0.4,0.47,0.16,0.1,0.11,0.04,0.04,0.04,0.02,0.03,0.01,0.05,0.02,0.05
2024-09,65.74,18.21,5.32,2.72,2.4,2.26,1.21,0.47,0.36,0,0.36,0.35,0.14,0.09,0.11,0.03,0.04,0.03,0.02,0.02,0.01,0.03,0.02,0.05
2024-10,66.65,18.09,5.26,2.65,2.23,2.2,0.85,0.46,0.39,0,0.33,0.32,0.13,0.09,0.11,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.05
2024-11,67.53,18.2,4.81,2.59,2.18,2,0.79,0.47,0.36,0,0.3,0.27,0.1,0.09,0.1,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.04
2024-12,68.34,17.12,4.93,2.47,2.23,2.01,0.85,0.51,0.36,0,0.35,0.32,0.1,0.1,0.11,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.04
2025-01,67.05,17.96,5.21,2.54,2.24,2.11,0.83,0.55,0.4,0,0.3,0.27,0.09,0.12,0.1,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.04
2025-02,66.3,17.99,5.33,2.62,2.3,2.09,0.84,0.95,0.37,0,0.32,0.29,0.11,0.14,0.1,0.06,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.04
2025-03,66.17,17.59,5.18,2.51,2.22,2.14,0.84,1.11,0.39,0.47,0.33,0.31,0.11,0.16,0.11,0.07,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.12
2025-04,66.21,17.23,5.22,2.55,2.22,2.07,0.86,1.04,0.4,0.87,0.34,0.31,0.12,0.15,0.12,0.07,0.04,0.03,0.02,0.02,0.03,0.01,0.02,0.06
2025-05,66.85,17.19,5.21,2.39,2.12,1.91,0.8,1.01,0.4,0.83,0.34,0.29,0.11,0.13,0.11,0.08,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.07
2025-06,68.32,16.25,4.97,2.37,2.04,1.85,0.79,0.96,0.38,0.84,0.32,0.28,0.13,0.1,0.1,0.09,0.03,0.02,0.02,0.02,0.03,0.01,0.02,0.05
2025-07,67.92,16.23,5.07,2.45,2.04,1.87,0.8,1.01,0.35,0.88,0.32,0.27,0.32,0.07,0.1,0.09,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.06
2025-08,69.26,14.98,4.99,2.26,1.97,1.85,0.81,1.28,0.36,0.84,0.33,0.27,0.39,0.06,0.09,0.07,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.05
