"Date","Google","bing","YANDEX","Yahoo!","DuckDuckGo","Baidu","Naver","CocCoc","Haosou","Ecosia","Seznam","Sogou","Qwant","Shenma","AOL","Petal Search","Other"
2024-08,90.5,3.91,1.95,1.32,0.64,0.79,0.3,0.14,0.11,0.11,0.05,0.06,0.02,0.04,0.02,0.02,0.04
2024-09,90,3.96,2.35,1.35,0.65,0.81,0.32,0.13,0.11,0.11,0.05,0.04,0.03,0.02,0.02,0.01,0.04
2024-10,89.34,4.16,2.78,1.33,0.69,0.82,0.35,0.15,0.09,0.11,0.03,0.03,0.02,0.02,0.02,0.01,0.04
2024-11,89.99,3.92,2.42,1.24,0.78,0.81,0.32,0.15,0.09,0.11,0.03,0.03,0.02,0.03,0.01,0.01,0.03
2024-12,89.73,3.98,2.55,1.29,0.66,0.81,0.36,0.18,0.14,0.11,0.03,0.05,0.02,0.03,0.01,0.01,0.03
2025-01,89.78,3.94,2.74,1.27,0.67,0.71,0.29,0.21,0.12,0.1,0.03,0.04,0.02,0.02,0.01,0.01,0.03
2025-02,90.15,3.95,2.29,1.29,0.7,0.66,0.32,0.25,0.11,0.11,0.03,0.03,0.02,0.01,0.02,0.01,0.04
2025-03,89.71,4.01,2.51,1.33,0.79,0.62,0.34,0.29,0.1,0.12,0.04,0.03,0.03,0.01,0.02,0.01,0.03
2025-04,89.65,3.89,2.53,1.33,0.84,0.72,0.33,0.28,0.16,0.11,0.04,0.03,0.03,0.01,0.02,0.01,0.04
2025-05,89.57,3.98,2.51,1.33,0.82,0.69,0.31,0.25,0.23,0.12,0.06,0.03,0.03,0.01,0.02,0.01,0.04
2025-06,89.54,3.96,2.43,1.37,0.86,0.73,0.35,0.21,0.24,0.12,0.06,0.02,0.03,0.01,0.02,0.01,0.04
2025-07,89.54,4.02,2.22,1.49,0.95,0.72,0.36,0.14,0.2,0.13,0.1,0.02,0.03,0.01,0.02,0.01,0.04
2025-08,89.89,3.92,2.19,1.48,0.9,0.76,0.28,0.11,0.14,0.13,0.07,0.02,0.03,0.01,0.02,0.01,0.04
